,company,description,exp,loc,salary,skills
219, JPMorgan Chase  4.0(573 reviews)   ,,1,Mumbai,,"['Unix, Perl, Automation, Python, Business objects, SyBase...']"
220, Wipro Limited  3.7(3812 reviews)   ,,5,Pune,,"['Project management, Project delivery, Information management, Ab Initio...']"
221, Wipro Limited  3.7(3812 reviews)   ,,5,Chennai,,"['Teradata, Unix shell scripting, Project delivery, Ab Initio, big data...']"
222, Wipro Limited  3.7(3812 reviews)   ,,8,Gurgaon,,"['Unix, Solution architecture, Data architecture, Architecture, Ab Initio...']"
223, Wipro Limited  3.7(3812 reviews)   ,,1,Gurgaon,,"['Unix, Ab Initio, Programming, Manager Technology, Business Executive']"
224, Wipro Limited  3.7(3812 reviews)   ,,3,Bengaluru,,"['Ab Initio, Banking, Focus, ECB, Usage, MIN']"
225, Wipro Limited  3.7(3812 reviews)   ,,10,Hyderabad,,"['Oracle, Data quality, Project delivery, Information management, Ab Initio...']"
226, Wipro Limited  3.7(3812 reviews)   ,,3,Bengaluru,,"['Teradata, Unix shell scripting, Test planning, Test strategy, Usage...']"
227, Wipro Limited  3.7(3812 reviews)   ,,3,Pune,,"['SQL, Unix, Data management, Control-M, Scheduling, Ab Initio...']"
228, Wipro Limited  3.7(3812 reviews)   ,,8,Chennai,,"['Solution architecture, Data architecture, Architecture, Ab Initio...']"
229, Wipro Limited  3.7(3812 reviews)   ,,3,Bengaluru,,"['SDLC, Agile, Performance tuning, Business analysis, Data quality, Ab Initio...']"
230, Wipro Limited  3.7(3812 reviews)   ,,3,"Noida, Greater Noida",,"['Ab Initio, Oracle SQL, Programming, Manager Technology, Mentor...']"
